experiment,x_name,x_value,algorithm,metric,n,mean,ci95_half_width,ci95_low,ci95_high
mobility,maximum_speed_m_s,10.0,dlapm,acceptance_ratio_pct,3,78.48451643096028,6.980743989340922,71.50377244161936,85.4652604203012
mobility,maximum_speed_m_s,10.0,dlapm,continuity_satisfaction_ratio_pct,3,92.33686067019399,14.338009541789729,77.99885112840425,106.67487021198372
mobility,maximum_speed_m_s,10.0,dlapm,migration_mb_per_admitted_sfc,3,54.19185320060936,20.59942203922203,33.592431161387324,74.79127523983139
mobility,maximum_speed_m_s,10.0,dlapm,downtime_ms_per_admitted_sfc,3,39.4956658786446,12.965342778732259,26.530323099912344,52.46100865737686
mobility,maximum_speed_m_s,10.0,dlapm,mean_e2e_delay_ms,3,49.499263510256014,10.257843067854486,39.24142044240153,59.7571065781105
mobility,maximum_speed_m_s,10.0,dlapm,p95_e2e_delay_ms,3,76.05415686337018,26.140192159418778,49.91396470395141,102.19434902278896
mobility,maximum_speed_m_s,10.0,dlapm,mean_decision_runtime_ms,3,24.414881200738872,15.859312059624006,8.555569141114866,40.27419326036288
mobility,maximum_speed_m_s,10.0,dlapm,p95_decision_runtime_ms,3,16.52742988333318,28.76971442114897,-12.242284537815788,45.297144304482146
mobility,maximum_speed_m_s,10.0,dlapm,mean_cpu_utilization_pct,3,77.17562514097297,3.945479045793639,73.23014609517934,81.1211041867666
mobility,maximum_speed_m_s,10.0,dlapm,mean_bandwidth_utilization_pct,3,18.78342597424764,3.605826404385624,15.177599569862014,22.389252378633262
mobility,maximum_speed_m_s,10.0,im,acceptance_ratio_pct,3,82.03742385675748,13.048464395471036,68.98895946128644,95.08588825222853
mobility,maximum_speed_m_s,10.0,im,continuity_satisfaction_ratio_pct,3,97.61600681140912,5.1385506855737315,92.47745612583539,102.75455749698286
mobility,maximum_speed_m_s,10.0,im,migration_mb_per_admitted_sfc,3,11.43470146015529,22.32335598733877,-10.888654527183478,33.75805744749406
mobility,maximum_speed_m_s,10.0,im,downtime_ms_per_admitted_sfc,3,6.103857464106556,12.057539692025733,-5.953682227919177,18.16139715613229
