request_id,tracked,generated,admitted,blocked,continuity_resolved,continuity_satisfied,continuity_failed,still_active_at_end,migration_volume_mb,downtime_ms,migrations,handoffs,route_updates,mean_delay_ms,delay_samples,departure_reason,algorithm,seed,experiment,x_name,x_value
0,False,True,True,False,True,True,False,False,0.0,0.0,0,0,0,0.0,0,lifetime_expiry,dlapm,31,mobility,maximum_speed_m_s,10.0
1,False,True,True,False,True,True,False,False,0.0,0.0,0,2,2,0.0,0,lifetime_expiry,dlapm,31,mobility,maximum_speed_m_s,10.0
2,False,True,True,False,True,True,False,False,0.0,0.0,0,2,2,0.0,0,lifetime_expiry,dlapm,31,mobility,maximum_speed_m_s,10.0
3,False,True,True,False,True,True,False,False,0.0,0.0,0,1,1,0.0,0,lifetime_expiry,dlapm,31,mobility,maximum_speed_m_s,10.0
4,False,True,True,False,True,True,False,False,0.0,0.0,0,1,1,0.0,0,lifetime_expiry,dlapm,31,mobility,maximum_speed_m_s,10.0
5,False,True,True,False,True,False,True,False,0.0,0.0,0,2,1,0.0,0,no_feasible_action,dlapm,31,mobility,maximum_speed_m_s,10.0
6,False,True,True,False,True,True,False,False,0.0,0.0,0,0,0,0.0,0,lifetime_expiry,dlapm,31,mobility,maximum_speed_m_s,10.0
7,False,True,True,False,True,True,False,False,0.0,0.0,0,2,2,0.0,0,lifetime_expiry,dlapm,31,mobility,maximum_speed_m_s,10.0
8,False,True,True,False,True,True,False,False,0.0,0.0,0,1,1,0.0,0,lifetime_expiry,dlapm,31,mobility,maximum_speed_m_s,10.0
9,True,True,True,False,True,True,False,False,0.0,0.0,0,1,1,46.57314262270617,49,lifetime_expiry,dlapm,31,mobility,maximum_speed_m_s,10.0
10,True,True,True,False,True,True,False,False,0.0,0.0,0,1,1,51.05479983892283,42,lifetime_expiry,dlapm,31,mobility,maximum_speed_m_s,10.0
11,True,True,True,False,True,True,False,False,55.17331737855287,80.0,1,2,2,43.058498531939776,32,lifetime_expiry,dlapm,31,mobility,maximum_speed_m_s,10.0
12,True,True,True,False,True,False,True,False,0.0,0.0,0,1,0,61.59615704383759,44,no_feasible_action,dlapm,31,mobility,maximum_speed_m_s,10.0
13,True,True,True,False,True,True,False,False,69.61069865593245,80.0,1,1,0,52.27229511857616,41,lifetime_expiry,dlapm,31,mobility,maximum_speed_m_s,10.0
14,True,True,True,False,True,True,False,False,0.0,0.0,0,1,1,30.480988765377752,28,lifetime_expiry,dlapm,31,mobility,maximum_speed_m_s,10.0
15,True,True,True,False,True,False,True,False,0.0,0.0,0,2,1,39.09161759724398,22,no_feasible_action,dlapm,31,mobility,maximum_speed_m_s,10.0
16,True,True,True,False,True,True,False,False,0.0,0.0,0,0,0,50.55759344966083,42,lifetime_expiry,dlapm,31,mobility,maximum_speed_m_s,10.0
17,True,True,True,False,True,True,False,False,0.0,0.0,0,1,1,66.82653417585732,33,lifetime_expiry,dlapm,31,mobility,maximum_speed_m_s,10.0
18,True,True,True,False,True,True,False,False,0.0,0.0,0,0,0,52.38307031639664,34,lifetime_expiry,dlapm,31,mobility,maximum_speed_m_s,10.0
19,True,True,True,False,True,True,False,False,0.0,0.0,0,2,2,37.195017831762485,41,lifetime_expiry,dlapm,31,mobility,maximum_speed_m_s,10.0
20,True,True,True,False,True,True,False,False,253.58589548588384,80.0,1,1,0,64.4772266529742,43,lifetime_expiry,dlapm,31,mobility,maximum_speed_m_s,10.0
21,True,True,True,False,True,True,False,False,169.39393442605066,160.0,2,0,0,33.349005178510446,23,lifetime_expiry,dlapm,31,mobility,maximum_speed_m_s,10.0
22,True,True,True,False,True,True,False,False,0.0,0.0,0,1,1,90.30897397140932,39,lifetime_expiry,dlapm,31,mobility,maximum_speed_m_s,10.0
23,True,True,True,False,True,True,False,False,0.0,0.0,0,0,0,39.396728523599215,23,lifetime_expiry,dlapm,31,mobility,maximum_speed_m_s,10.0
24,True,True,True,False,True,True,False,False,0.0,0.0,0,0,0,37.73161484941871,26,lifetime_expiry,dlapm,31,mobility,maximum_speed_m_s,10.0
25,True,True,True,False,True,True,False,False,308.1622723981182,240.0,3,2,1,45.66748234428157,55,lifetime_expiry,dlapm,31,mobility,maximum_speed_m_s,10.0
26,True,True,True,False,True,True,False,False,0.0,0.0,0,0,0,60.88163493994581,29,lifetime_expiry,dlapm,31,mobility,maximum_speed_m_s,10.0
27,True,True,False,True,False,False,False,False,0.0,0.0,0,0,0,0.0,0,no_feasible_placement,dlapm,31,mobility,maximum_speed_m_s,10.0
28,True,True,True,False,True,True,False,False,229.46075926239652,160.0,2,2,1,49.1401589179098,44,lifetime_expiry,dlapm,31,mobility,maximum_speed_m_s,10.0
29,True,True,True,False,True,True,False,False,0.0,0.0,0,1,1,31.409475495830385,37,lifetime_expiry,dlapm,31,mobility,maximum_speed_m_s,10.0
30,True,True,True,False,True,False,True,False,81.90620656990184,80.0,1,3,1,52.27123930357966,31,no_feasible_action,dlapm,31,mobility,maximum_speed_m_s,10.0
31,True,True,True,False,False,False,False,True,0.0,0.0,0,1,1,40.08240793044757,48,active_at_measurement_end,dlapm,31,mobility,maximum_speed_m_s,10.0
32,True,True,False,True,False,False,False,False,0.0,0.0,0,0,0,0.0,0,no_feasible_placement,dlapm,31,mobility,maximum_speed_m_s,10.0
33,True,True,False,True,False,False,False,False,0.0,0.0,0,0,0,0.0,0,no_feasible_placement,dlapm,31,mobility,maximum_speed_m_s,10.0
34,True,True,False,True,False,False,False,False,0.0,0.0,0,0,0,0.0,0,no_feasible_placement,dlapm,31,mobility,maximum_speed_m_s,10.0
35,True,True,True,False,False,False,False,True,0.0,0.0,0,0,0,24.341026770413038,43,active_at_measurement_end,dlapm,31,mobility,maximum_speed_m_s,10.0
36,True,True,True,False,False,False,False,True,0.0,0.0,0,0,0,57.83646540469336,42,active_at_measurement_end,dlapm,31,mobility,maximum_speed_m_s,10.0
37,True,True,True,False,False,False,False,True,0.0,0.0,0,0,0,39.32221435172,41,active_at_measurement_end,dlapm,31,mobility,maximum_speed_m_s,10.0
38,True,True,True,False,True,True,False,False,0.0,0.0,0,2,2,51.45422906436328,34,lifetime_expiry,dlapm,31,mobility,maximum_speed_m_s,10.0
39,True,True,True,False,False,False,False,True,575.4350990361588,240.0,3,0,0,52.18379630295916,37,active_at_measurement_end,dlapm,31,mobility,maximum_speed_m_s,10.0
40,True,True,True,False,True,True,False,False,0.0,0.0,0,1,1,54.92349583267464,34,lifetime_expiry,dlapm,31,mobility,maximum_speed_m_s,10.0
41,True,True,True,False,False,False,False,True,119.55359385276178,80.0,1,1,0,37.21998340093822,37,active_at_measurement_end,dlapm,31,mobility,maximum_speed_m_s,10.0
42,True,True,True,False,False,False,False,True,0.0,0.0,0,1,1,31.690924882516168,36,active_at_measurement_end,dlapm,31,mobility,maximum_speed_m_s,10.0
43,True,True,True,False,False,False,False,True,0.0,0.0,0,1,1,41.87417908845967,36,active_at_measurement_end,dlapm,31,mobility,maximum_speed_m_s,10.0
44,True,True,True,False,True,True,False,False,82.49888478502953,80.0,1,0,1,63.89088271523447,22,lifetime_expiry,dlapm,31,mobility,maximum_speed_m_s,10.0
45,True,True,True,False,True,True,False,False,0.0,0.0,0,0,0,38.00634259991431,26,lifetime_expiry,dlapm,31,mobility,maximum_speed_m_s,10.0
46,True,True,False,True,False,False,False,False,0.0,0.0,0,0,0,0.0,0,no_feasible_placement,dlapm,31,mobility,maximum_speed_m_s,10.0
47,True,True,False,True,False,False,False,False,0.0,0.0,0,0,0,0.0,0,no_feasible_placement,dlapm,31,mobility,maximum_speed_m_s,10.0
48,True,True,True,False,False,False,False,True,0.0,0.0,0,0,1,60.20250096844757,29,active_at_measurement_end,dlapm,31,mobility,maximum_speed_m_s,10.0
49,True,True,False,True,False,False,False,False,0.0,0.0,0,0,0,0.0,0,no_feasible_placement,dlapm,31,mobility,maximum_speed_m_s,10.0
50,True,True,False,True,False,False,False,False,0.0,0.0,0,0,0,0.0,0,no_feasible_placement,dlapm,31,mobility,maximum_speed_m_s,10.0
51,True,True,True,False,True,True,False,False,225.5726141032842,160.0,2,0,0,71.96305347053172,26,lifetime_expiry,dlapm,31,mobility,maximum_speed_m_s,10.0
52,True,True,True,False,False,False,False,True,0.0,0.0,0,0,0,40.21317909441482,25,active_at_measurement_end,dlapm,31,mobility,maximum_speed_m_s,10.0
53,True,True,True,False,True,False,True,False,0.0,0.0,0,1,0,40.01416918952759,18,no_feasible_action,dlapm,31,mobility,maximum_speed_m_s,10.0
54,True,True,True,False,True,True,False,False,0.0,0.0,0,0,0,35.8943642611382,21,lifetime_expiry,dlapm,31,mobility,maximum_speed_m_s,10.0
55,True,True,True,False,False,False,False,True,138.4060316862695,160.0,2,1,0,57.523016317443606,19,active_at_measurement_end,dlapm,31,mobility,maximum_speed_m_s,10.0
56,True,True,True,False,False,False,False,True,0.0,0.0,0,1,1,36.76584254590812,15,active_at_measurement_end,dlapm,31,mobility,maximum_speed_m_s,10.0
57,True,True,True,False,False,False,False,True,0.0,0.0,0,0,1,63.47613922201851,14,active_at_measurement_end,dlapm,31,mobility,maximum_speed_m_s,10.0
58,True,True,True,False,False,False,False,True,0.0,0.0,0,0,0,51.62700052708578,13,active_at_measurement_end,dlapm,31,mobility,maximum_speed_m_s,10.0
59,True,True,True,False,False,False,False,True,0.0,0.0,0,1,1,52.47280785985897,12,active_at_measurement_end,dlapm,31,mobility,maximum_speed_m_s,10.0
60,True,True,False,True,False,False,False,False,0.0,0.0,0,0,0,0.0,0,no_feasible_placement,dlapm,31,mobility,maximum_speed_m_s,10.0
